id,title,seniority,area,company_name,industry,employment_type,work_schedule,modality,location_city,location_state,location_region,salary_min,salary_max,salary_currency,salary_period,benefits_count,benefits_list,rewards_count,rewards_list,requirements_must_count,requirements_must_list,requirements_nice_count,requirements_nice_list,education_level,responsibilities_count,responsibilities_list,pcd,tags_count,tags_list,source_name,source_url,raw_excerpt,confidence,parsed_at
12577,Encarregado Mecânico,Pleno,Manutenção,Nan,Industrial,CLT,SEGUNDA A SEXTA - 08:00 AS 18:00 | Construção civil e manutenção predial,Presencial,Brasília,DF,Asa Sul,,,BRL,month,0,,0,,3,Curso Técnico De Mecânico Manutenção E Instalação Ar-Condicionado Ou Equivalente; Noções De Sistemas Hidráulicos Pressurizados E Conhecimento Em Equipamentos | Conhecimento Em Equipamentos | Certificado Comprovando Capacitação Para Operação E Manutenção De Equipamentos Semelhantes Ao Objeto Do Presente Contrato,0,,Médio/Técnico,3,Realizar Vistorias Periódicas Programadas Nos Sistemas Instalados Para Verificar O Estado Dos Equipamentos | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Tíquete Alimentação | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De…,True,4,Manutenção | Chiller | Predial | Mecânica,Catho,https://www.catho.com.br/vagas/encarregado-mecanico/32184220/,Salário: nan | Supervisionar manutenções em sistemas compatíveis aos instalados.Deve ter nível médio...,0.8,2025-09-09
668027,Auxiliar De Manutenção Geral,Pleno,Manutenção,Nan,Industrial,CLT,SEGUNDA A SEXTA - 08:00 AS 18:00 | Construção civil e manutenção predial,Presencial,Brasília,DF,Asa Sul,1679.1,1679.1,BRL,month,4,Alimentação | Telefonia | Transporte | Seguro De Vida,3,Prêmio Assiduidade - R$ 50 | Day Off De Aniversário Suas Responsabilidades: Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Plano De Carreira,3,Curso Técnico De Mecânico Manutenção E Instalação Ar-Condicionado Ou Equivalente; Noções De Sistemas Hidráulicos Pressurizados E Conhecimento Em Equipamentos | Conhecimento Em Equipamentos | Certificado Comprovando Capacitação Para Operação E Manutenção De Equipamentos Semelhantes Ao Objeto Do Presente Contrato,0,,Médio/Técnico,6,Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Realizar Vistorias Periódicas Programadas Nos Sistemas Instalados Para Verificar O Estado Dos Equipamentos | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Tíquete Alimentação | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo,True,5,Hidráulica | Manutenção | Chiller | Predial | Mecânica,Catho,https://www.catho.com.br/vagas/auxiliar-de-manutencao-geral/33226144/,Salário: nan | Supervisionar manutenções em sistemas compatíveis aos instalados.Deve ter nível médio...,0.8999999999999999,2025-09-09
89696,Ajudante De Produção - Vaga Afirmativa Também Para O Público Pcd,Pleno,Manutenção,O Público Pcd,Industrial,CLT,SEGUNDA A SEXTA - 08:00 AS 18:00 | Construção civil e manutenção predial,Presencial,Brasília,DF,Asa Sul,1679.1,1679.1,BRL,month,4,Alimentação | Telefonia | Transporte | Seguro De Vida,3,Prêmio Assiduidade - R$ 50 | Day Off De Aniversário Suas Responsabilidades: Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Plano De Carreira,3,Curso Técnico De Mecânico Manutenção E Instalação Ar-Condicionado Ou Equivalente; Noções De Sistemas Hidráulicos Pressurizados E Conhecimento Em Equipamentos | Conhecimento Em Equipamentos | Certificado Comprovando Capacitação Para Operação E Manutenção De Equipamentos Semelhantes Ao Objeto Do Presente Contrato,0,,Fundamental,7,Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Realizar Vistorias Periódicas Programadas Nos Sistemas Instalados Para Verificar O Estado Dos Equipamentos | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Tíquete Alimentação | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Executar Atividades Com Foco Em Eficiência | Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo,True,5,Hidráulica | Manutenção | Chiller | Predial | Mecânica,Catho,https://www.catho.com.br/vagas/ajudante-de-producao-vaga-afirmativa-tambem-para-o-publico-pcd/33225390/,Salário: nan | Supervisionar manutenções em sistemas compatíveis aos instalados.Deve ter nível médio...,1.0,2025-09-09
95583,Analista De Processos,Pleno,Manutenção,Nan,Industrial,CLT,SEGUNDA A SEXTA - 08:00 AS 18:00 | Construção civil e manutenção predial,Presencial,Brasília,DF,Asa Sul,1679.1,1679.1,BRL,month,4,Alimentação | Telefonia | Transporte | Seguro De Vida,3,Prêmio Assiduidade - R$ 50 | Day Off De Aniversário Suas Responsabilidades: Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Plano De Carreira,5,Curso Técnico De Mecânico Manutenção E Instalação Ar-Condicionado Ou Equivalente; Noções De Sistemas Hidráulicos Pressurizados E Conhecimento Em Equipamentos | Experiência Em Análise De Processos | Conhecimento Em Equipamentos | Conhecimento Em Softwares De Gestão Empresarial E Boas Práticas De Qualidade São Diferenciais Importantes | Certificado Comprovando Capacitação Para Operação E Manutenção De Equipamentos Semelhantes Ao Objeto Do Presente Contrato,0,,Fundamental,9,Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Realizar Vistorias Periódicas Programadas Nos Sistemas Instalados Para Verificar O Estado Dos Equipamentos | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Tíquete Alimentação | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Executar Atividades Com Foco Em Eficiência | Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Responsável Por Identificar | Responsável Por Mapear E Documentar Os Fluxos De Trabalho Atuais,True,5,Hidráulica | Manutenção | Chiller | Predial | Mecânica,Catho,https://www.catho.com.br/vagas/analista-de-processos/32515151/,Salário: nan | Supervisionar manutenções em sistemas compatíveis aos instalados.Deve ter nível médio...,1.0,2025-09-09
341756,Assistente Administrativo De Manutenção,Pleno,Manutenção,Nan,Industrial,CLT,SEGUNDA A SEXTA - 08:00 AS 18:00 | Construção civil e manutenção predial,Presencial,Brasília,DF,Asa Sul,1679.1,1679.1,BRL,month,5,Alimentação | Telefonia | Transporte | Seguro De Vida | Seguro De Vida,3,Prêmio Assiduidade - R$ 50 | Day Off De Aniversário Suas Responsabilidades: Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Plano De Carreira,5,Curso Técnico De Mecânico Manutenção E Instalação Ar-Condicionado Ou Equivalente; Noções De Sistemas Hidráulicos Pressurizados E Conhecimento Em Equipamentos | Experiência Em Análise De Processos | Conhecimento Em Equipamentos | Conhecimento Em Softwares De Gestão Empresarial E Boas Práticas De Qualidade São Diferenciais Importantes | Certificado Comprovando Capacitação Para Operação E Manutenção De Equipamentos Semelhantes Ao Objeto Do Presente Contrato,0,,Fundamental,9,Realizar Visitas Técnicas E Coletar Dados; Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Realizar Vistorias Periódicas Programadas Nos Sistemas Instalados Para Verificar O Estado Dos Equipamentos | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Tíquete Alimentação | Realizar Montagem De Carga Para A Equipe De Entrega Auxiliar O Operador Na Operação Das Máquinas Para Beneficiamento De… | Executar Serviços De Hidráulica Predial; Executar Reparos E Manutenções Hidráulicas; Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Executar Atividades Com Foco Em Eficiência | Elaborar Relatórios Detalhados; Se Você Se Encaixa Na Descrição Dessa Vaga E Deseja Fazer Parte De Algo Significativo | Responsável Por Identificar | Responsável Por Mapear E Documentar Os Fluxos De Trabalho Atuais,True,5,Hidráulica | Manutenção | Chiller | Predial | Mecânica,Catho,https://www.catho.com.br/vagas/assistente-administrativo-de-manutencao/33267378/,Salário: nan | Supervisionar manutenções em sistemas compatíveis aos instalados.Deve ter nível médio...,1.0,2025-09-09
