Fonte,Título,Link,Área,Localidade,Salário,Habilidades,Empresa,Publicada em,Modalidade,Requisitos,Descrição
catho,Assistente Comercial / Administrativo,https://www.catho.com.br/vagas/assistente-comercial-administrativo/33219848/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Comercial / Administrativo INPLAK Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Principais Atividades: Pesquisa de Mercado: Investigar o mercado para identificar novos nichos e potenciais clientes. Prospecção Ativa: Fazer o primeiro contato com leads… continuar lendo Enviar Candidatura Fácil"
catho,Lider de Restaurante - Turno da Tarde,https://www.catho.com.br/vagas/lider-de-restaurante-turno-da-tarde/33222365/,,,,,,,,,"CANDIDATURA FÁCIL Lider de Restaurante - Turno da Tarde Empresa ConfidencialPor que? De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Vaga: Líder de Restaurante – Consolação/SP ?? Local: Roosevelt – Consolação – SP ? Horário: das 16h às 00h – terça a domingo ?? Salário: R$ 2.500,00 ?? Benefícios: Refeição no… continuar lendo Enviar Candidatura Fácil"
catho,Instalador de Montagem #1181,https://www.catho.com.br/vagas/instalador-de-montagem-sharp1181/33222361/,,,,,,,,,"CANDIDATURA FÁCIL Instalador de Montagem #1181 TATIANA CARDOSO GARCIA LTDA De R$ 2.001,00 a R$ 3.000,00 1 vaga: Valinhos - SP (1) Publicada hoje Atividades a serem desenvolvidas: Montagem e instalação de redes de proteção em prédios. Experiência profissional: Vivencia em obras e Registro de Instalador (qualquer… continuar lendo Enviar Candidatura Fácil"
catho,CONSULTOR DE ATENDIMENTO | AGENDAMENTOS E RESERVAS DE VIAGENS | NECESSARIO INGLES INTERMEDIARIO.,https://www.catho.com.br/vagas/consultor-de-atendimento-agendamentos-e-reservas-de-viagens-necessario-ingles-intermediario/33222357/,,,,,,,,,"CANDIDATURA FÁCIL CONSULTOR DE ATENDIMENTO | AGENDAMENTOS E RESERVAS DE VIAGENS | NECESSARIO INGLES INTERMEDIARIO. A3 Soluções em Recursos Humanos De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Estamos na reta final do nosso processo seletivo. Para participar da entrevista online , com aprovação imediata e início ainda esta semana. Detalhes da vaga: Responsabilidades e… continuar lendo Enviar Candidatura Fácil"
catho,Encarregado de Limpeza,https://www.catho.com.br/vagas/encarregado-de-limpeza/33222346/,,,,,,,,,"CANDIDATURA FÁCIL Encarregado de Limpeza ONET BRASIL De R$ 2.001,00 a R$ 3.000,00 1 vaga: Jaguariaiva - PR (1) Publicada hoje A Onet Brasil está em busca de 3 ENCARREGADOS DE LIMPEZA, para atuar na região do CIC- Curitiba Principais responsabilidades: Responsável por coordenar e supervisionar as… continuar lendo Enviar Candidatura Fácil"
catho,Fiscal de Prevenção - Zona Norte,https://www.catho.com.br/vagas/fiscal-de-prevencao-zona-norte/33222344/,,,,Excel,Norte,,,,"CANDIDATURA FÁCIL Fiscal de Prevenção - Zona Norte EXCELENCE SERVIÇOS De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Possuir experiência na Função. Ira atuar com atendimento ao Publico em Empresa de Grande Porte, no ramo de Comercio Atacadista. Horário de trabalho : 14h30 as 22h50 Escala de… continuar lendo Enviar Candidatura Fácil"
catho,APRENDIZ USINAGEM (NECESSÁRIO TÉCNICO EM MECÂNICA),https://www.catho.com.br/vagas/aprendiz-usinagem-necessario-tecnico-em-mecanica/33222336/,,,,,,,,,"CANDIDATURA FÁCIL APRENDIZ USINAGEM (NECESSÁRIO TÉCNICO EM MECÂNICA) UNIRH De R$ 2.001,00 a R$ 3.000,00 1 vaga: Sumare - SP (1) Publicada hoje Vaga: APRENDIZ USINAGEM (NECESSÁRIO TÉCNICO EM MECÂNICA) Local: Sumaré/SP Contrato de aprendizagem: 1 ano e 3 meses Horários de trabalho e curso: Segunda-Feira a Sexta… continuar lendo Enviar Candidatura Fácil"
catho,Comercial - Clínica de Emagrecimento,https://www.catho.com.br/vagas/comercial-clinica-de-emagrecimento/33222239/,,,,,,,,,"CANDIDATURA FÁCIL Comercial - Clínica de Emagrecimento Aline Ortiz Emagrecimento Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Foz do Iguaçu - PR (1) Publicada hoje Atendimento inicial humanizado (WhatsApp, telefone e redes sociais); Agendamento de avaliações e consultas; Follow-up com leads; Organização e atualização de registros; Apoio em… continuar lendo Enviar Candidatura Fácil"
catho,Advogado,https://www.catho.com.br/vagas/advogado/33222230/,,,,,,,,,"CANDIDATURA FÁCIL Advogado MARTINS CALZE ADVOGADOS Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Elaborar peças processuais Realizar consultoria jurídica aos clientes Participar de audiências e reuniões Acompanhar processos judiciais e administrativos Analisar e interpretar a… continuar lendo Enviar Candidatura Fácil"
catho,Auxiliar Técnico de Refrigeração,https://www.catho.com.br/vagas/auxiliar-tecnico-de-refrigeracao/33222227/,,,,,,,,,"CANDIDATURA FÁCIL Auxiliar Técnico de Refrigeração TTAC Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Realizar manutenção preventiva e corretiva em equipamentos de refrigeração Identificar e solucionar problemas em sistemas de refrigeração Realizar atendimento aos clientes de… continuar lendo Enviar Candidatura Fácil"
